Epoch,learning rate,training loss,training energy/scan RMSE (per atom),training energy/scan MAE (per atom),training forces[energy/scan] RMSE,training forces[energy/scan] MAE,training virial[energy/scan] RMSE (per atom),training virial[energy/scan] MAE (per atom),training mtt::dipole RMSE (per atom),training mtt::dipole MAE (per atom),validation loss,validation energy/scan RMSE (per atom),validation energy/scan MAE (per atom),validation forces[energy/scan] RMSE,validation forces[energy/scan] MAE,validation virial[energy/scan] RMSE (per atom),validation virial[energy/scan] MAE (per atom),validation mtt::dipole RMSE (per atom),validation mtt::dipole MAE (per atom)
,,,meV,meV,meV/A,meV/A,meV,meV,,,,meV,meV,meV/A,meV/A,meV,meV,,
  71,4.997e-05,1.091e+02,1.8512,1.4772,177.11,137.16,21.514,12.873,0.09563,0.077025,3.440e+01,3.4127,3.2556,232.28,186.18,42.661,26.555,0.088943,0.073109
  72,4.997e-05,1.300e+02,2.6541,2.2927,197.17,153.61,30.817,18.239,0.09606,0.077289,2.228e+01,2.3292,2.0327,183.20,143.02,23.079,14.870,0.088449,0.072552
  73,4.997e-05,1.287e+02,4.1707,3.7517,193.30,150.38,29.832,17.132,0.09600,0.077182,1.831e+01,5.4696,5.3687,162.65,126.54,20.231,13.221,0.088922,0.072876
  74,4.997e-05,1.004e+02,3.3943,2.9699,171.39,132.64,19.870,12.211,0.09609,0.077398,2.244e+01,4.1239,3.9938,183.16,143.91,29.448,18.696,0.088103,0.072021
  75,4.997e-05,1.237e+02,3.2156,2.8872,193.71,151.26,32.081,19.174,0.09591,0.077478,2.396e+01,1.2599,1.0096,191.24,150.23,25.689,16.371,0.087524,0.071566
  76,4.997e-05,1.177e+02,2.0970,1.6604,182.23,141.59,25.768,14.809,0.09595,0.077718,2.899e+01,4.0544,3.9250,211.41,168.48,38.794,24.208,0.087854,0.071974
  77,4.997e-05,1.119e+02,2.7810,2.3701,180.76,140.60,25.963,15.598,0.09568,0.077553,1.462e+01,3.3457,3.1584,142.48,109.97, 5.468, 3.924,0.088462,0.072689
  78,4.997e-05,1.161e+02,3.9949,3.7268,186.32,144.80,30.393,17.333,0.09575,0.076917,1.659e+01,2.9165,2.6853,154.38,119.61,12.961, 8.717,0.087403,0.071527
  79,4.997e-05,1.002e+02,2.4626,2.0777,168.55,130.51,19.723,11.712,0.09589,0.077336,3.038e+01,4.4286,4.3094,216.90,173.56,41.106,25.552,0.087579,0.071657
  80,4.997e-05,1.182e+02,3.4081,3.0353,185.63,144.55,29.668,17.577,0.09588,0.077684,2.119e+01,2.0317,1.7189,178.08,139.41,21.992,14.117,0.087913,0.072066
  81,4.997e-05,1.157e+02,3.0162,2.6421,182.05,141.76,28.650,16.330,0.09548,0.076745,1.640e+01,3.5055,3.3474,151.85,117.80,19.650,12.816,0.089015,0.073236
  82,4.997e-05,9.452e+01,2.0108,1.6156,165.14,128.01,19.480,11.950,0.09586,0.076882,2.001e+01,3.9862,3.8542,171.08,134.00,27.973,17.763,0.088048,0.072278
  83,4.997e-05,1.112e+02,3.6418,3.3715,181.44,141.56,30.638,18.313,0.09554,0.076990,2.276e+01,2.0334,1.7218,185.71,146.13,24.914,15.820,0.087219,0.071211
  84,4.996e-05,1.088e+02,3.0468,2.6021,174.27,135.49,24.722,14.378,0.09531,0.076112,2.574e+01,4.7012,4.5933,197.75,157.25,36.545,22.801,0.087289,0.071523
  85,4.996e-05,1.038e+02,2.9746,2.5267,172.66,134.34,24.500,14.824,0.09533,0.077016,1.374e+01,2.8237,2.6110,137.23,105.85, 5.061, 3.611,0.087579,0.071871
